id;start_date;end_date;language
1;2020-09-05T20:55:50;2020-09-05T18:46:05;SPANISH
2;2020-09-05T01:46:01;2020-09-05T20:50:26;SPANISH
3;2020-09-05T16:41:20;2020-09-05T03:15:29;FRENCH
4;2020-09-05T07:58:51;2020-09-05T19:30:17;FRENCH
5;2020-09-05T17:29:09;2020-09-05T22:16:08;FRENCH
6;2020-09-05T11:21:30;2020-09-05T23:29:44;FRENCH
7;2020-09-05T13:06:50;2020-09-05T06:57:41;FRENCH
8;2020-09-05T12:03:03;2020-09-05T22:19:11;SPANISH
9;2020-09-05T10:44:12;2020-09-05T07:25:35;SPANISH
10;2020-09-05T18:56:16;2020-09-05T05:30:46;SPANISH
